name,stargazerCount,owner,createdAt,updatedAt,language,openPullRequests,mergedPullRequests,releases,openIssues,closedIssues
keras,62585,keras-team,2015-03-28T00:35:42Z,2025-02-20T22:04:37Z,Python,35,3927,73,221,12130
sherlock,62543,sherlock-project,2018-12-24T14:30:48Z,2025-02-20T22:11:31Z,Python,121,639,1,73,945
sway,62455,FuelLabs,2021-01-19T20:54:33Z,2025-02-20T16:26:37Z,Rust,28,3280,162,833,2350
obs-studio,62347,obsproject,2013-10-01T02:40:31Z,2025-02-20T22:03:12Z,CMake,293,4991,214,573,3747
resume.github.com,62252,resume,2011-02-06T13:39:55Z,2025-02-20T19:49:51Z,Ruby,12,84,0,55,64
awesome-public-datasets,62076,awesomedata,2014-11-20T06:20:50Z,2025-02-20T22:14:53Z,Unknown,61,188,1,70,48
tabby,62000,Eugeny,2016-12-23T09:06:10Z,2025-02-20T18:26:31Z,CSS,64,1474,195,2115,3298
openai-cookbook,61939,openai,2022-03-11T02:08:53Z,2025-02-20T22:40:08Z,MDX,30,673,0,31,482
echarts,61937,apache,2013-04-03T03:18:59Z,2025-02-20T22:32:13Z,JavaScript,126,1353,118,2032,16723
awesome-cpp,61926,fffaraz,2014-07-17T08:51:11Z,2025-02-20T18:59:26Z,Unknown,70,771,0,344,232
n8n,61894,n8n-io,2019-06-22T09:24:21Z,2025-02-20T22:26:14Z,Shell,260,8695,287,421,2150
caddy,61771,caddyserver,2015-01-13T19:45:03Z,2025-02-20T22:39:13Z,Go,26,2041,123,133,4004
socket.io,61642,socketio,2010-03-11T18:24:48Z,2025-02-20T21:37:57Z,JavaScript,13,435,75,170,3415
nocode,61571,kelseyhightower,2018-02-06T23:54:00Z,2025-02-20T21:40:15Z,Dockerfile,457,1,1,4044,693
scikit-learn,61175,scikit-learn,2010-08-17T09:43:38Z,2025-02-20T22:40:39Z,Python,558,12898,45,1564,9826
redux,61064,reduxjs,2015-05-29T23:53:15Z,2025-02-20T19:09:42Z,JavaScript,3,1708,78,36,2016
Java,60894,TheAlgorithms,2016-07-16T10:21:02Z,2025-02-20T21:55:14Z,Java,3,1842,0,3,1069
SecLists,60864,danielmiessler,2012-02-19T01:30:18Z,2025-02-20T22:45:17Z,PHP,2,649,26,13,263
AppFlowy,60793,AppFlowy-IO,2021-06-16T12:56:48Z,2025-02-20T21:46:19Z,Makefile,19,3493,98,892,2407
Apollo-11,60591,chrislgarry,2014-04-03T15:45:02Z,2025-02-20T21:53:09Z,Assembly,68,341,0,57,324
awesome-scalability,60531,binhnguyennus,2017-12-27T03:46:40Z,2025-02-20T22:42:18Z,Unknown,18,36,0,0,0
cs-self-learning,60468,PKUFlyingPig,2021-10-20T13:43:42Z,2025-02-20T22:01:48Z,HTML,26,265,4,92,98
atom,60328,atom,2012-01-20T18:18:21Z,2025-02-20T13:36:04Z,Shell,31,3937,538,963,16149
lodash,60168,lodash,2012-04-07T04:11:46Z,2025-02-20T15:18:50Z,JavaScript,17,581,2,68,4224
architect-awesome,60014,xingshaocheng,2018-04-06T13:30:58Z,2025-02-20T13:31:53Z,Unknown,17,49,0,49,22
Front-end-Developer-Interview-Questions,59982,h5bp,2012-02-09T23:34:10Z,2025-02-20T22:12:17Z,JavaScript,8,484,0,34,142
design-resources-for-developers,59948,bradtraversy,2020-05-06T14:40:35Z,2025-02-20T21:14:28Z,Unknown,0,939,0,0,100
markdown-here,59800,adam-p,2012-05-13T03:27:22Z,2025-02-20T21:29:07Z,HTML,15,25,14,305,319
awesome-nodejs,59646,sindresorhus,2014-07-11T13:35:34Z,2025-02-20T22:00:08Z,Unknown,16,414,0,2,100
jquery,59399,jquery,2009-04-03T15:20:14Z,2025-02-20T13:16:27Z,JavaScript,15,784,10,79,2267
awesome-courses,59065,prakhar1989,2014-11-15T18:36:49Z,2025-02-20T22:42:21Z,Unknown,16,194,0,41,39
angular.js,58769,angular,2010-01-06T00:34:37Z,2025-02-20T18:41:02Z,JavaScript,72,789,0,391,8647
new-pac,58722,Alvin9999,2016-03-23T08:43:36Z,2025-02-20T22:41:46Z,Python,0,0,0,419,1284
annotated_deep_learning_paper_implementations,58673,labmlai,2020-08-25T02:29:34Z,2025-02-20T19:22:41Z,Python,4,102,0,31,104
shadowsocks-windows,58616,shadowsocks,2013-01-14T07:54:16Z,2025-02-20T16:56:19Z,C#,11,290,55,179,2743
immich,58541,immich-app,2022-02-03T15:56:27Z,2025-02-20T21:56:54Z,HTML,80,5511,233,438,4365
docusaurus,58410,facebook,2017-06-20T16:13:53Z,2025-02-20T17:07:49Z,JavaScript,58,5339,149,286,2915
open-interpreter,58402,OpenInterpreter,2023-07-14T07:10:44Z,2025-02-20T22:33:39Z,Python,38,367,48,209,792
act,57880,nektos,2019-01-02T19:53:43Z,2025-02-20T22:19:14Z,Shell,23,1000,82,196,1013
localsend,57818,localsend,2022-12-16T00:46:07Z,2025-02-20T21:59:48Z,Kotlin,1,650,24,587,597
fuel-core,57797,FuelLabs,2020-08-27T21:12:14Z,2025-02-20T19:34:05Z,Rust,22,1367,113,144,864
localstack,57771,localstack,2016-10-25T23:48:03Z,2025-02-20T22:06:22Z,Makefile,57,5718,88,268,5557
alacritty,57724,alacritty,2016-02-18T05:02:30Z,2025-02-20T22:05:24Z,Rust,10,1860,101,318,5680
llama,57667,meta-llama,2023-02-14T09:29:12Z,2025-02-20T19:00:56Z,Python,51,54,0,421,647
spring-framework,57362,spring-projects,2010-12-08T04:04:45Z,2025-02-20T21:49:52Z,Groovy,20,851,324,257,26191
prometheus,57340,prometheus,2012-11-24T11:14:12Z,2025-02-20T22:15:32Z,Makefile,201,7126,327,525,5394
html5-boilerplate,56777,h5bp,2010-01-24T18:03:24Z,2025-02-20T22:26:18Z,HTML,9,773,34,6,1343
lazygit,56763,jesseduffield,2018-05-19T00:53:06Z,2025-02-20T22:33:32Z,Go,60,1486,157,736,1365
rails,56489,rails,2008-04-11T02:19:47Z,2025-02-20T19:08:27Z,Ruby,765,24683,145,511,17472
